Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
26,Sun,2011-04-10,,Vitória Setúbal,4–1,União de Leiria,,Estádio do Bonfim ,Luís Catita,Match Report,
26,Mon,2011-04-11,,Braga,3–1,Vitória,,Estádio Municipal de Braga ,João Ferreira,Match Report,

27,Fri,2011-04-15,,Académica,1–1,Vitória Setúbal,,Estádio EFAPEL ,Jorge Sousa,Match Report,
27,Sat,2011-04-16,,Olhanense,0–0,Paços,,Estádio José Arcanjo ,Hugo Miguel,Match Report,
27,Sat,2011-04-16,,Vitória,2–0,Marítimo,,Estádio Dom Afonso Henriques ,Vasco Santos,Match Report,
27,Sun,2011-04-17,,Porto,3–2,Sporting CP,,Estádio Do Dragão ,Artur Soares Dias,Match Report,
27,Sun,2011-04-17,,União de Leiria,0–1,Portimonense,,Estádio Dr. Magalhães Pessoa ,Rui Costa,Match Report,
27,Sun,2011-04-17,,Rio Ave,1–0,Naval,,Estádio do Rio Ave Futebol Clube ,Carlos Xistra,Match Report,
27,Sun,2011-04-17,,Benfica,2–1,Beira-Mar,,Estádio do Sport Lisboa e Benfica ,Elmano Santos,Match Report,
27,Mon,2011-04-18,,Nacional,1–1,Braga,,Estádio da Madeira ,Olegário Benquerença,Match Report,

28,Fri,2011-04-29,,Paços,2–1,Vitória,,Estádio da Capital do Móvel ,Bruno Esteves,Match Report,
28,Sat,2011-04-30,,Sporting CP,2–1,Portimonense,,Estádio José Alvalade ,Duarte Gomes,Match Report,
28,Sun,2011-05-01,,Vitória Setúbal,0–4,Porto,,Estádio do Bonfim ,Rui Costa,Match Report,
28,Sun,2011-05-01,,Braga,0–0,União de Leiria,,Estádio Municipal de Braga ,Bruno Paixão,Match Report,
28,Sun,2011-05-01,,Naval,1–2,Nacional,,Estádio Municipal José Bento Pessoa ,Hugo Miguel,Match Report,
28,Sun,2011-05-01,,Marítimo,1–0,Académica,,Estádio dos Barreiros ,João Ferreira,Match Report,
28,Sun,2011-05-01,,Beira-Mar,1–1,Rio Ave,,Estádio Municipal de Aveiro ,André Gralha,Match Report,
28,Sun,2011-05-01,,Olhanense,1–1,Benfica,,Estádio José Arcanjo ,Vasco Santos,Match Report,

29,Sun,2011-05-08,,Vitória,1–0,Beira-Mar,,Estádio Dom Afonso Henriques ,Rui Costa,Match Report,
29,Sun,2011-05-08,,Nacional,0–1,Olhanense,,Estádio da Madeira ,Diogo Santos,Match Report,
29,Sun,2011-05-08,,Rio Ave,1–2,Benfica,,Estádio do Rio Ave Futebol Clube ,Marco Ferreira,Match Report,
29,Sun,2011-05-08,,Sporting CP,0–1,Vitória Setúbal,,Estádio José Alvalade ,Paulo Baptista,Match Report,
